songId,title,artist,bpm,category,imageName,isNew,isLocked,searchAcronyms,sheetType,difficulty,level,internalLevelValue,noteDesigner,noteTap,noteHold,noteSlide,noteTouch,noteBreak,noteTotal,regionJp,regionIntl,regionUsa,regionCn,isSpecial,version,internalId,releaseDate
8,True Love Song,Kai/クラシック「G線上のアリア」,150,舞萌,,false,,,std,basic,5,5,-,63,23,8,,2,96,,,,,,maimai,8,
8,True Love Song,Kai/クラシック「G線上のアリア」,150,舞萌,,false,,,std,advanced,7,7.2,-,85,27,6,,4,122,,,,,,maimai,8,
8,True Love Song,Kai/クラシック「G線上のアリア」,150,舞萌,,false,,,std,expert,10,10.2,譜面-100号,110,56,9,,2,177,,,,,,maimai,8,
8,True Love Song,Kai/クラシック「G線上のアリア」,150,舞萌,,false,,,std,master,12,12.4,ニャイン,263,14,19,,6,302,,,,,,maimai,8,
9,Color My World,GOSH/クラシック「悲愴」,94,舞萌,,false,,,std,basic,4,4,-,73,1,19,,2,95,,,,,,maimai,9,
9,Color My World,GOSH/クラシック「悲愴」,94,舞萌,,false,,,std,advanced,7,7.1,-,89,39,8,,7,143,,,,,,maimai,9,
9,Color My World,GOSH/クラシック「悲愴」,94,舞萌,,false,,,std,expert,9+,9.8,譜面-100号,109,5,31,,8,153,,,,,,maimai,9,
9,Color My World,GOSH/クラシック「悲愴」,94,舞萌,,false,,,std,master,12,12.4,ニャイン,148,13,49,,3,213,,,,,,maimai,9,
17,Future,★STAR GUiTAR [cover],130,流行&动漫,,false,,,std,basic,7,7,-,183,0,3,,2,188,,,,,,maimai,17,
17,Future,★STAR GUiTAR [cover],130,流行&动漫,,false,,,std,advanced,7+,7.8,-,178,16,12,,4,210,,,,,,maimai,17,
17,Future,★STAR GUiTAR [cover],130,流行&动漫,,false,,,std,expert,9,9.5,maimai TEAM,284,12,5,,3,304,,,,,,maimai,17,
17,Future,★STAR GUiTAR [cover],130,流行&动漫,,false,,,std,master,10+,10.7,譜面-100号,226,18,33,,9,286,,,,,,maimai,17,
17,Future,★STAR GUiTAR [cover],130,流行&动漫,,false,,,std,remaster,12+,12.7,はっぴー,238,4,128,,126,496,,,,,,maimai,17,
18,Love You,Q;indivi [cover],135,流行&动漫,,false,,,std,basic,6,6,-,91,33,4,,2,130,,,,,,maimai,18,
18,Love You,Q;indivi [cover],135,流行&动漫,,false,,,std,advanced,6,6.8,-,150,23,21,,4,198,,,,,,maimai,18,
18,Love You,Q;indivi [cover],135,流行&动漫,,false,,,std,expert,9+,9.6,譜面-100号,104,61,16,,3,184,,,,,,maimai,18,
18,Love You,Q;indivi [cover],135,流行&动漫,,false,,,std,master,11+,11.7,ニャイン,91,51,51,,5,198,,,,,,maimai,18,
22,In Chaos,Hiro「Crackin’DJ」,140,其他游戏,,false,,,std,basic,6,6,-,135,2,4,,1,142,,,,,,maimai,22,
22,In Chaos,Hiro「Crackin’DJ」,140,其他游戏,,false,,,std,advanced,7+,7.6,-,200,10,8,,3,221,,,,,,maimai,22,
22,In Chaos,Hiro「Crackin’DJ」,140,其他游戏,,false,,,std,expert,9+,9.7,譜面-100号,320,1,3,,2,326,,,,,,maimai,22,
