songId,title,artist,bpm,category,imageName,isNew,isLocked,searchAcronyms,sheetType,difficulty,level,internalLevelValue,noteDesigner,noteTap,noteHold,noteSlide,noteTouch,noteBreak,noteTotal,regionJp,regionIntl,regionUsa,regionCn,isSpecial,version,internalId,releaseDate
君の知らない物語,君の知らない物語,supercell「化物語」,181,POPS＆アニメ,b9d06643b0f9db1f154aad251470631bb688d1b5fb36566738d2c1f3cd488566,false,false,,dx,basic,3,3,-,53,18,4,6,3,84,false,false,false,false,false,maimaiでらっくす PLUS,10181,2020-07-30
君の知らない物語,君の知らない物語,supercell「化物語」,181,POPS＆アニメ,b9d06643b0f9db1f154aad251470631bb688d1b5fb36566738d2c1f3cd488566,false,false,,dx,advanced,6,6,-,163,18,15,9,4,209,false,false,false,false,false,maimaiでらっくす PLUS,10181,2020-07-30
君の知らない物語,君の知らない物語,supercell「化物語」,181,POPS＆アニメ,b9d06643b0f9db1f154aad251470631bb688d1b5fb36566738d2c1f3cd488566,false,false,,dx,expert,8,8,はっぴー,190,31,10,22,5,258,false,false,false,false,false,maimaiでらっくす PLUS,10181,2020-07-30
君の知らない物語,君の知らない物語,supercell「化物語」,181,POPS＆アニメ,b9d06643b0f9db1f154aad251470631bb688d1b5fb36566738d2c1f3cd488566,false,false,,dx,master,12,12,某S氏,233,18,78,29,14,372,false,false,false,false,false,maimaiでらっくす PLUS,10181,2020-07-30
君の知らない物語,君の知らない物語,supercell「化物語」,181,POPS＆アニメ,b9d06643b0f9db1f154aad251470631bb688d1b5fb36566738d2c1f3cd488566,false,false,,std,basic,2,2,-,47,18,2,,3,70,false,false,false,false,false,GreeN,181,2013-07-11
君の知らない物語,君の知らない物語,supercell「化物語」,181,POPS＆アニメ,b9d06643b0f9db1f154aad251470631bb688d1b5fb36566738d2c1f3cd488566,false,false,,std,advanced,7,7,-,151,13,11,,9,184,false,false,false,false,false,GreeN,181,2013-07-11
君の知らない物語,君の知らない物語,supercell「化物語」,181,POPS＆アニメ,b9d06643b0f9db1f154aad251470631bb688d1b5fb36566738d2c1f3cd488566,false,false,,std,expert,9,9,はっぴー,197,29,21,,4,251,false,false,false,false,false,GreeN,181,2013-07-11
君の知らない物語,君の知らない物語,supercell「化物語」,181,POPS＆アニメ,b9d06643b0f9db1f154aad251470631bb688d1b5fb36566738d2c1f3cd488566,false,false,,std,master,11+,11.6,某S氏,187,17,61,,10,275,false,false,false,false,false,GreeN,181,2013-07-11
Our Fighting,Our Fighting,クーナ(CV 喜多村英梨)「PHANTASY STAR ONLINE 2」,165,ゲーム＆バラエティ,14781baf4201173e1c8ddf380c97e3894327ee2e0f89ac054398294f0ab26af6,false,false,,std,basic,5,5,-,176,13,8,,6,203,false,false,false,false,false,ORANGE PLUS,293,2015-06-05
Our Fighting,Our Fighting,クーナ(CV 喜多村英梨)「PHANTASY STAR ONLINE 2」,165,ゲーム＆バラエティ,14781baf4201173e1c8ddf380c97e3894327ee2e0f89ac054398294f0ab26af6,false,false,,std,advanced,7,7,-,295,18,12,,10,335,false,false,false,false,false,ORANGE PLUS,293,2015-06-05
