version,abbr,releaseDate
maimai,maimai (真),2012-07-11
maimai PLUS,maimai+ (真),2012-12-13
GreeN,GreeN (超),2013-07-11
GreeN PLUS,GreeN+ (檄),2014-02-26
ORANGE,ORANGE (橙),2014-09-18
ORANGE PLUS,ORANGE+ (暁),2015-03-19
PiNK,PiNK (桃),2015-12-09
PiNK PLUS,PiNK+ (櫻),2016-06-30
MURASAKi,MURASAKi (紫),2016-12-15
MURASAKi PLUS,MURASAKi+ (菫),2017-06-22
MiLK,MiLK (白),2017-12-14
MiLK PLUS,MiLK+ (雪),2018-06-21
FiNALE,FiNALE (輝),2018-12-13
maimaiでらっくす,でらっくす (熊),2019-07-11
maimaiでらっくす PLUS,でらっくす+ (華),2020-01-23
Splash,Splash (爽),2020-09-17
Splash PLUS,Splash+ (煌),2021-03-18
UNiVERSE,UNiVERSE (宙),2021-09-16
UNiVERSE PLUS,UNiVERSE+ (星),2022-03-24
FESTiVAL,FESTiVAL (祭),2022-09-15
FESTiVAL PLUS,FESTiVAL+ (祝),2023-03-23
BUDDiES,BUDDiES (双),2023-09-14
BUDDiES PLUS,BUDDiES+ (宴),2024-03-21
PRiSM,PRiSM (鏡),2024-09-12
PRiSM PLUS,PRiSM+ (彩),2025-03-13
CiRCLE,CiRCLE (丸),2025-09-18
CiRCLE PLUS,CiRCLE+,2026-03-19
