songId,songTitle,artist,category,version,sheetType,difficulty,level,internalLevelValue,noteDesigner,noteTap,noteHold,noteSlide,noteTouch,noteBreak,noteTotal,isSpecial,dxdata,divingFish
8,True Love Song,Kai/クラシック「G線上のアリア」,maimai,maimai,std,basic,5,5,-,63,23,8,,2,96,false,true,true
8,True Love Song,Kai/クラシック「G線上のアリア」,maimai,maimai,std,advanced,7,7,-,85,27,6,,4,122,false,true,true
9,Color My World,GOSH/クラシック「悲愴」,maimai,maimai,std,basic,4,4,-,73,1,19,,2,95,false,true,true
9,Color My World,GOSH/クラシック「悲愴」,maimai,maimai,std,advanced,7,7,-,89,39,8,,7,143,false,true,true
10,LOVE ＆ JOY,木村 由姫［cover］,POPS＆アニメ,,std,basic,5,5,-,176,,4,,3,183,false,true,false
10,LOVE ＆ JOY,木村 由姫［cover］,POPS＆アニメ,,std,advanced,7,7,-,226,8,8,,4,246,false,true,false
11,じょいふる,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
11,じょいふる,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
11,じょいふる,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
11,じょいふる,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
15,Everyday、カチューシャ,AKB48［PV］,POPS＆アニメ,,std,basic,4,4,-,185,14,5,,2,206,false,true,false
15,Everyday、カチューシャ,AKB48［PV］,POPS＆アニメ,,std,advanced,6,6,-,217,47,12,,2,278,false,true,false
17,Future,★STAR GUiTAR [cover],POPS＆アニメ,maimai,std,basic,7,7,-,183,,3,,2,188,false,true,true
17,Future,★STAR GUiTAR [cover],POPS＆アニメ,maimai,std,advanced,7+,7.6,-,178,16,12,,4,210,false,true,true
18,Love You,Q;indivi [cover],POPS＆アニメ,maimai,std,basic,6,6,-,91,33,4,,2,130,false,true,true
18,Love You,Q;indivi [cover],POPS＆アニメ,maimai,std,advanced,6,6,-,150,23,21,,4,198,false,true,true
20,恋愛サーキュレーション,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
20,恋愛サーキュレーション,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
20,恋愛サーキュレーション,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
20,恋愛サーキュレーション,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
21,コネクト,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
21,コネクト,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
21,コネクト,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
21,コネクト,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
22,In Chaos,Hiro「Crackin’DJ」,宴会場,maimai,utage,【蔵】,14+?,14.6,,,,,,,,true,true,true
23,Crush On You,福山光晴「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,basic,4,4,-,114,8,3,,1,126,false,true,true
23,Crush On You,福山光晴「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,advanced,7+,7.6,-,139,26,2,,1,168,false,true,true
24,Sun Dance,Hiro「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,basic,4,4,-,100,3,1,,2,106,false,true,true
24,Sun Dance,Hiro「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,advanced,7+,7.6,-,175,10,1,,4,190,false,true,true
25,Sweets×Sweets,Team-D,maimai,maimai,std,basic,6,6,-,135,7,5,,4,151,false,true,true
25,Sweets×Sweets,Team-D,maimai,maimai,std,advanced,7,7,-,195,16,10,,2,223,false,true,true
27,Love or Lies,capsule [cover],POPS＆アニメ,maimai,std,basic,5,5,-,91,6,5,,3,105,false,true,true
27,Love or Lies,capsule [cover],POPS＆アニメ,maimai,std,advanced,6,6,-,165,6,9,,10,190,false,true,true
29,VICTORY,EXILE,POPS＆アニメ,,std,basic,4,4,-,53,7,10,,3,73,false,true,false
29,VICTORY,EXILE,POPS＆アニメ,,std,advanced,6,6,-,225,9,8,,4,246,false,true,false
30,ネコ日和。,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
30,ネコ日和。,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
30,ネコ日和。,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
30,ネコ日和。,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
31,虹と太陽,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
31,虹と太陽,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
31,虹と太陽,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
31,虹と太陽,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
34,Garden,May J.［cover］,POPS＆アニメ,,std,basic,4,4,-,93,4,4,,2,103,false,true,false
34,Garden,May J.［cover］,POPS＆アニメ,,std,advanced,5,5,-,146,4,6,,1,157,false,true,false
35,炭★坑★節,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
35,炭★坑★節,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
35,炭★坑★節,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
35,炭★坑★節,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
38,NIGHT OF FIRE,NIKO [cover],POPS＆アニメ,maimai,std,basic,7,7,-,118,26,2,,3,149,false,true,true
38,NIGHT OF FIRE,NIKO [cover],POPS＆アニメ,maimai,std,advanced,8,8,-,156,43,5,,10,214,false,true,true
40,come again,m-flo [cover],POPS＆アニメ,maimai,std,basic,5,5,-,95,6,3,,1,105,false,true,true
40,come again,m-flo [cover],POPS＆アニメ,maimai,std,advanced,7,7,-,88,21,7,,2,118,false,true,true
41,Chu Chu,moumoon［PV］,POPS＆アニメ,,std,basic,4,4,-,167,3,3,,3,176,false,true,false
41,Chu Chu,moumoon［PV］,POPS＆アニメ,,std,advanced,5,5,-,224,4,5,,5,238,false,true,false
42,jelly,capsule [cover],POPS＆アニメ,maimai,std,basic,5,5,-,97,4,4,,3,108,false,true,true
42,jelly,capsule [cover],POPS＆アニメ,maimai,std,advanced,8,8,-,119,29,4,,10,162,false,true,true
43,愛を止めないで,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
43,愛を止めないで,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
43,愛を止めないで,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
43,愛を止めないで,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
44,ハッピーシンセサイザ,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
44,ハッピーシンセサイザ,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
44,ハッピーシンセサイザ,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
44,ハッピーシンセサイザ,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
45,Choo Choo TRAIN,EXILE［PV］,POPS＆アニメ,,std,basic,4,4,-,107,18,12,,3,140,false,true,false
45,Choo Choo TRAIN,EXILE［PV］,POPS＆アニメ,,std,advanced,5,5,-,145,17,6,,4,172,false,true,false
46,ルカルカ★ナイトフィーバー,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
46,ルカルカ★ナイトフィーバー,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
46,ルカルカ★ナイトフィーバー,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
46,ルカルカ★ナイトフィーバー,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
47,源平大戦絵巻テーマソング,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
47,源平大戦絵巻テーマソング,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
47,源平大戦絵巻テーマソング,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
47,源平大戦絵巻テーマソング,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
49,アイデンティティ,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
49,アイデンティティ,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
49,アイデンティティ,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
49,アイデンティティ,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
53,美しく燃える森,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
53,美しく燃える森,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
53,美しく燃える森,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
53,美しく燃える森,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
54,ヘビーローテーション,supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
54,ヘビーローテーション,supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
54,ヘビーローテーション,supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
54,ヘビーローテーション,supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
55,CAN'T GET BACK,w-inds.［PV］,POPS＆アニメ,,std,basic,3,3,-,109,3,3,,2,117,false,true,false
55,CAN'T GET BACK,w-inds.［PV］,POPS＆アニメ,,std,advanced,6,6,-,139,13,4,,3,159,false,true,false
56,ウッーウッーウマウマ(ﾟ∀ﾟ),supercell「化物語」,POPS＆アニメ,maimai,dx,basic,3,3,-,53,18,4,6,3,84,false,true,true
56,ウッーウッーウマウマ(ﾟ∀ﾟ),supercell「化物語」,POPS＆アニメ,maimai,dx,advanced,6,6,-,163,18,15,9,4,209,false,true,true
56,ウッーウッーウマウマ(ﾟ∀ﾟ),supercell「化物語」,POPS＆アニメ,maimai,std,basic,2,2,-,47,18,2,,3,70,false,true,true
56,ウッーウッーウマウマ(ﾟ∀ﾟ),supercell「化物語」,POPS＆アニメ,maimai,std,advanced,7,7,-,151,13,11,,9,184,false,true,true
58,Endless World,RYOHEI KOHNO/保立美和子,maimai,maimai PLUS,std,basic,5,5,-,83,16,5,,6,110,false,true,true
