songId,songTitle,artist,category,version,sheetType,difficulty,level,internalLevelValue,noteDesigner,noteTap,noteHold,noteSlide,noteTouch,noteBreak,noteTotal,isSpecial,dxdata,divingFish
8,True Love Song,Kai/クラシック「G線上のアリア」,maimai,maimai,std,basic,5,5,-,63,23,8,,2,96,false,true,true
8,True Love Song,Kai/クラシック「G線上のアリア」,maimai,maimai,std,advanced,7,7,-,85,27,6,,4,122,false,true,true
8,True Love Song,Kai/クラシック「G線上のアリア」,maimai,maimai,std,expert,10,10,譜面-100号,110,56,9,,2,177,false,true,true
8,True Love Song,Kai/クラシック「G線上のアリア」,maimai,maimai,std,master,12,12.4,ニャイン,263,14,19,,6,302,false,true,true
9,Color My World,GOSH/クラシック「悲愴」,maimai,maimai,std,basic,4,4,-,73,1,19,,2,95,false,true,true
9,Color My World,GOSH/クラシック「悲愴」,maimai,maimai,std,advanced,7,7,-,89,39,8,,7,143,false,true,true
9,Color My World,GOSH/クラシック「悲愴」,maimai,maimai,std,expert,9+,9.6,譜面-100号,109,5,31,,8,153,false,true,true
9,Color My World,GOSH/クラシック「悲愴」,maimai,maimai,std,master,12,12.4,ニャイン,148,13,49,,3,213,false,true,true
10,LOVE ＆ JOY,木村 由姫［cover］,POPS＆アニメ,,std,basic,5,5,-,176,,4,,3,183,false,true,false
10,LOVE ＆ JOY,木村 由姫［cover］,POPS＆アニメ,,std,advanced,7,7,-,226,8,8,,4,246,false,true,false
10,LOVE ＆ JOY,木村 由姫［cover］,POPS＆アニメ,,std,expert,8,8,(無し),233,41,13,,5,292,false,true,false
10,LOVE ＆ JOY,木村 由姫［cover］,POPS＆アニメ,,std,master,9,9,(無し),329,16,33,,23,401,false,true,false
11,じょいふる,いきものがかり［cover］,POPS＆アニメ,,std,basic,5,5,-,155,3,5,,2,165,false,true,false
11,じょいふる,いきものがかり［cover］,POPS＆アニメ,,std,advanced,6,6,-,265,10,6,,4,285,false,true,false
11,じょいふる,いきものがかり［cover］,POPS＆アニメ,,std,expert,7,7,(無し),250,22,17,,4,293,false,true,false
11,じょいふる,いきものがかり［cover］,POPS＆アニメ,,std,master,8,8,(無し),343,18,25,,28,414,false,true,false
15,Everyday、カチューシャ,AKB48［PV］,POPS＆アニメ,,std,basic,4,4,-,185,14,5,,2,206,false,true,false
15,Everyday、カチューシャ,AKB48［PV］,POPS＆アニメ,,std,advanced,6,6,-,217,47,12,,2,278,false,true,false
15,Everyday、カチューシャ,AKB48［PV］,POPS＆アニメ,,std,expert,8,8,(無し),453,14,20,,4,491,false,true,false
15,Everyday、カチューシャ,AKB48［PV］,POPS＆アニメ,,std,master,8,8,(無し),368,56,79,,12,515,false,true,false
17,Future,★STAR GUiTAR [cover],POPS＆アニメ,maimai,std,basic,7,7,-,183,,3,,2,188,false,true,true
17,Future,★STAR GUiTAR [cover],POPS＆アニメ,maimai,std,advanced,7+,7.6,-,178,16,12,,4,210,false,true,true
17,Future,★STAR GUiTAR [cover],POPS＆アニメ,maimai,std,expert,9,9,maimai TEAM,284,12,5,,3,304,false,true,true
17,Future,★STAR GUiTAR [cover],POPS＆アニメ,maimai,std,master,10+,10.6,譜面-100号,226,18,33,,9,286,false,true,true
17,Future,★STAR GUiTAR [cover],POPS＆アニメ,maimai,std,remaster,12+,12.7,はっぴー,238,4,128,,126,496,false,true,true
18,Love You,Q;indivi [cover],POPS＆アニメ,maimai,std,basic,6,6,-,91,33,4,,2,130,false,true,true
18,Love You,Q;indivi [cover],POPS＆アニメ,maimai,std,advanced,6,6,-,150,23,21,,4,198,false,true,true
18,Love You,Q;indivi [cover],POPS＆アニメ,maimai,std,expert,9+,9.6,譜面-100号,104,61,16,,3,184,false,true,true
18,Love You,Q;indivi [cover],POPS＆アニメ,maimai,std,master,11+,11.6,ニャイン,91,51,51,,5,198,false,true,true
20,恋愛サーキュレーション,「化物語」［cover］,POPS＆アニメ,,std,basic,4,4,-,142,8,2,,2,154,false,true,false
20,恋愛サーキュレーション,「化物語」［cover］,POPS＆アニメ,,std,advanced,6,6,-,149,24,7,,4,184,false,true,false
20,恋愛サーキュレーション,「化物語」［cover］,POPS＆アニメ,,std,expert,7+,7.6,譜面-100号,194,28,8,,4,234,false,true,false
20,恋愛サーキュレーション,「化物語」［cover］,POPS＆アニメ,,std,master,9+,9.6,ニャイン,275,26,10,,13,324,false,true,false
21,コネクト,ClariS「魔法少女まどか☆マギカ」,POPS＆アニメ,,dx,basic,3,3,-,69,11,3,16,4,103,false,true,false
21,コネクト,ClariS「魔法少女まどか☆マギカ」,POPS＆アニメ,,dx,advanced,6,6,-,184,18,11,14,2,229,false,true,false
21,コネクト,ClariS「魔法少女まどか☆マギカ」,POPS＆アニメ,,dx,expert,8+,8.6,はっぴー,226,29,20,37,8,320,false,true,false
21,コネクト,ClariS「魔法少女まどか☆マギカ」,POPS＆アニメ,,dx,master,11,11,はっぴー,285,46,68,5,5,409,false,true,false
21,コネクト,ClariS「魔法少女まどか☆マギカ」,POPS＆アニメ,,dx,remaster,12+,12.6,チャン@DP皆伝,367,21,128,33,3,552,false,true,false
21,コネクト,ClariS「魔法少女まどか☆マギカ」,POPS＆アニメ,,std,basic,5,5,-,139,12,4,,2,157,false,true,false
21,コネクト,ClariS「魔法少女まどか☆マギカ」,POPS＆アニメ,,std,advanced,7,7,-,177,26,17,,2,222,false,true,false
21,コネクト,ClariS「魔法少女まどか☆マギカ」,POPS＆アニメ,,std,expert,8,8,maimai TEAM,274,18,15,,6,313,false,true,false
21,コネクト,ClariS「魔法少女まどか☆マギカ」,POPS＆アニメ,,std,master,12,12,チャン@DP皆伝,211,25,95,,3,334,false,true,false
22,In Chaos,Hiro「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,basic,6,6,-,135,2,4,,1,142,false,true,true
22,In Chaos,Hiro「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,advanced,7+,7.6,-,200,10,8,,3,221,false,true,true
22,In Chaos,Hiro「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,expert,9+,9.6,譜面-100号,320,1,3,,2,326,false,true,true
22,In Chaos,Hiro「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,master,12,12.5,ニャイン,328,28,17,,7,380,false,true,true
22,In Chaos,Hiro「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,remaster,14+,14.8,チャン@DP皆伝,768,,97,,15,880,false,true,true
23,Crush On You,福山光晴「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,basic,4,4,-,114,8,3,,1,126,false,true,true
23,Crush On You,福山光晴「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,advanced,7+,7.6,-,139,26,2,,1,168,false,true,true
23,Crush On You,福山光晴「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,expert,9,9,譜面-100号,182,34,2,,5,223,false,true,true
23,Crush On You,福山光晴「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,master,11,11,ニャイン,201,31,39,,6,277,false,true,true
23,Crush On You,福山光晴「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,remaster,13+,13.7,Jack,341,89,109,,16,555,false,true,true
24,Sun Dance,Hiro「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,basic,4,4,-,100,3,1,,2,106,false,true,true
24,Sun Dance,Hiro「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,advanced,7+,7.6,-,175,10,1,,4,190,false,true,true
24,Sun Dance,Hiro「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,expert,8+,8.6,譜面-100号,201,16,5,,3,225,false,true,true
24,Sun Dance,Hiro「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,master,11,11,ニャイン,278,11,16,,11,316,false,true,true
24,Sun Dance,Hiro「Crackin’DJ」,ゲーム＆バラエティ,maimai,std,remaster,14,14,譜面-100号,381,72,29,,53,535,false,true,true
25,Sweets×Sweets,Team-D,maimai,maimai,std,basic,6,6,-,135,7,5,,4,151,false,true,true
25,Sweets×Sweets,Team-D,maimai,maimai,std,advanced,7,7,-,195,16,10,,2,223,false,true,true
25,Sweets×Sweets,Team-D,maimai,maimai,std,expert,9,9,譜面-100号,181,35,20,,2,238,false,true,true
25,Sweets×Sweets,Team-D,maimai,maimai,std,master,11,11,maimai TEAM,343,23,12,,9,387,false,true,true
27,Love or Lies,capsule [cover],POPS＆アニメ,maimai,std,basic,5,5,-,91,6,5,,3,105,false,true,true
27,Love or Lies,capsule [cover],POPS＆アニメ,maimai,std,advanced,6,6,-,165,6,9,,10,190,false,true,true
27,Love or Lies,capsule [cover],POPS＆アニメ,maimai,std,expert,9,9,譜面-100号,208,43,6,,6,263,false,true,true
27,Love or Lies,capsule [cover],POPS＆アニメ,maimai,std,master,11+,11.6,ニャイン,279,38,21,,15,353,false,true,true
29,VICTORY,EXILE,POPS＆アニメ,,std,basic,4,4,-,53,7,10,,3,73,false,true,false
29,VICTORY,EXILE,POPS＆アニメ,,std,advanced,6,6,-,225,9,8,,4,246,false,true,false
29,VICTORY,EXILE,POPS＆アニメ,,std,expert,7,7,(無し),142,60,15,,6,223,false,true,false
29,VICTORY,EXILE,POPS＆アニメ,,std,master,9,9,(無し),254,34,30,,20,338,false,true,false
30,ネコ日和。,Kai/能登有沙,maimai,maimai,std,basic,6,6,-,162,4,7,,4,177,false,true,true
30,ネコ日和。,Kai/能登有沙,maimai,maimai,std,advanced,7+,7.6,-,210,23,4,,4,241,false,true,true
30,ネコ日和。,Kai/能登有沙,maimai,maimai,std,expert,8+,8.6,譜面-100号,259,4,10,,8,281,false,true,true
30,ネコ日和。,Kai/能登有沙,maimai,maimai,std,master,12+,12.6,ニャイン,283,36,11,,16,346,false,true,true
31,虹と太陽,GOSH/manami,maimai,maimai,std,basic,6,6,-,118,8,7,,2,135,false,true,true
31,虹と太陽,GOSH/manami,maimai,maimai,std,advanced,8,8,-,172,20,8,,4,204,false,true,true
31,虹と太陽,GOSH/manami,maimai,maimai,std,expert,11,11,譜面-100号,255,9,14,,2,280,false,true,true
31,虹と太陽,GOSH/manami,maimai,maimai,std,master,12+,12.9,ニャイン,293,23,12,,16,344,false,true,true
34,Garden,May J.［cover］,POPS＆アニメ,,std,basic,4,4,-,93,4,4,,2,103,false,true,false
34,Garden,May J.［cover］,POPS＆アニメ,,std,advanced,5,5,-,146,4,6,,1,157,false,true,false
34,Garden,May J.［cover］,POPS＆アニメ,,std,expert,7,7,(無し),210,28,12,,8,258,false,true,false
34,Garden,May J.［cover］,POPS＆アニメ,,std,master,8,8,(無し),214,29,24,,17,284,false,true,false
35,炭★坑★節,Kai/光吉猛修,maimai,maimai,std,basic,5,5,-,153,2,3,,6,164,false,true,true
35,炭★坑★節,Kai/光吉猛修,maimai,maimai,std,advanced,7,7,-,203,1,12,,6,222,false,true,true
35,炭★坑★節,Kai/光吉猛修,maimai,maimai,std,expert,10+,10.6,譜面-100号,341,14,11,,4,370,false,true,true
35,炭★坑★節,Kai/光吉猛修,maimai,maimai,std,master,13,13.3,ニャイン,315,13,22,,6,356,false,true,true
38,NIGHT OF FIRE,NIKO [cover],POPS＆アニメ,maimai,std,basic,7,7,-,118,26,2,,3,149,false,true,true
38,NIGHT OF FIRE,NIKO [cover],POPS＆アニメ,maimai,std,advanced,8,8,-,156,43,5,,10,214,false,true,true
38,NIGHT OF FIRE,NIKO [cover],POPS＆アニメ,maimai,std,expert,10,10,ニャイン,189,46,11,,3,249,false,true,true
38,NIGHT OF FIRE,NIKO [cover],POPS＆アニメ,maimai,std,master,11+,11.6,maimai TEAM,298,35,10,,13,356,false,true,true
40,come again,m-flo [cover],POPS＆アニメ,maimai,std,basic,5,5,-,95,6,3,,1,105,false,true,true
40,come again,m-flo [cover],POPS＆アニメ,maimai,std,advanced,7,7,-,88,21,7,,2,118,false,true,true
40,come again,m-flo [cover],POPS＆アニメ,maimai,std,expert,10,10,譜面-100号,139,55,14,,2,210,false,true,true
40,come again,m-flo [cover],POPS＆アニメ,maimai,std,master,12,12.4,ニャイン,199,45,17,,3,264,false,true,true
