songId,songTitle,dxdata,divingFish,maichart,sheetCount
8,True Love Song,✓,✓,✓,4
9,Color My World,✓,✓,✓,4
10,LOVE ＆ JOY,✓,✗,✓,4
11,じょいふる,✓,✗,✓,4
15,Everyday、カチューシャ,✓,✗,✓,4
17,Future,✓,✓,✓,5
18,Love You,✓,✓,✓,4
20,恋愛サーキュレーション,✓,✗,✓,4
21,コネクト,✓,✗,✓,9
22,In Chaos,✓,✓,✓,5
23,Crush On You,✓,✓,✓,5
24,Sun Dance,✓,✓,✓,5
25,Sweets×Sweets,✓,✓,✓,4
27,Love or Lies,✓,✓,✓,4
29,VICTORY,✓,✗,✓,4
30,ネコ日和。,✓,✓,✓,4
31,虹と太陽,✓,✓,✓,4
34,Garden,✓,✗,✓,4
35,炭★坑★節,✓,✓,✓,4
38,NIGHT OF FIRE,✓,✓,✓,4
40,come again,✓,✓,✓,4
41,Chu Chu,✓,✗,✓,4
42,jelly,✓,✓,✓,4
43,愛を止めないで,✓,✗,✓,4
44,ハッピーシンセサイザ,✓,✓,✓,4
45,Choo Choo TRAIN,✓,✗,✓,4
46,ルカルカ★ナイトフィーバー,✓,✓,✓,4
47,源平大戦絵巻テーマソング,✓,✓,✓,5
49,アイデンティティ,✓,✗,✓,4
53,美しく燃える森,✓,✓,✓,4
54,ヘビーローテーション,✓,✗,✓,4
55,CAN'T GET BACK,✓,✗,✓,4
56,ウッーウッーウマウマ(ﾟ∀ﾟ),✓,✓,✓,4
58,Endless World,✓,✓,✓,5
59,PON PON PON,✓,✗,✓,4
60,New World,✓,✗,✓,4
61,Beat Of Mind,✓,✓,✓,5
62,檄！帝国華撃団(改),✓,✓,✓,5
63,メランコリック,✓,✓,✓,4
64,教えて!! 魔法のLyric,✓,✓,✓,4
65,ZIGG-ZAGG,✓,✓,✓,5
66,ワールズエンド・ダンスホール,✓,✓,✓,5
67,パンダヒーロー,✓,✓,✓,4
68,オレンジの夏,✓,✓,✓,4
69,BaBan!! －甘い罠－,✓,✓,✓,4
70,ジングルベル,✓,✓,✓,5
71,マトリョシカ,✓,✓,✓,5
73,メグメグ☆ファイアーエンドレスナイト,✓,✓,✓,4
75,天国と地獄,✓,✓,✓,4
76,きみのためなら死ねる,✓,✓,✓,4
77,怪盗Rのテーマ,✓,✓,✓,4
78,マリアをはげませ,✓,✓,✓,4
79,SHOW TIME,✓,✓,✓,4
80,City Escape: Act1,✓,✓,✓,5
81,Rooftop Run: Act1,✓,✓,✓,5
82,Reach For The Stars,✓,✓,✓,4
83,Urban Crusher [Remix],✓,✓,✓,4
84,Catch The Future,✓,✓,✓,4
85,JACKY [Remix],✓,✓,✓,5
100,Tell Your World,✓,✓,✓,5
101,おちゃめ機能,✓,✓,✓,4
102,ダンシング☆サムライ,✓,✓,✓,4
106,BAD∞END∞NIGHT,✓,✓,✓,4
107,ロミオとシンデレラ,✓,✓,✓,5
108,Sweetiex2,✓,✓,✓,4
109,腐れ外道とチョコレゐト,✓,✓,✓,4
110,Quartet Theme [Reborn],✓,✓,✓,4
111,Sky High [Reborn],✓,✓,✓,5
112,Like the Wind [Reborn],✓,✓,✓,4
113,YA･DA･YO [Reborn],✓,✓,✓,4
114,Space Harrier Main Theme [Reborn],✓,✓,✓,4
115,DADDY MULK -Groove remix-,✓,✓,✓,5
116,ぴぴぱぷぅ！,✓,✓,✓,4
117,炎歌 -ほむらうた-,✓,✓,✓,4
118,犬日和。,✓,✓,✓,4
119,ソーラン☆節,✓,✓,✓,4
120,デコボコ体操第二,✓,✓,✓,4
121,スイートマジック,✓,✓,✓,4
122,ゴーゴー幽霊船,✓,✓,✓,4
125,千本桜,✓,✗,✓,4
126,つけまつける,✓,✗,✓,4
127,Get Off of My Way,✓,✗,✓,4
128,御旗のもとに,✓,✓,✓,4
130,FEEL ALIVE,✓,✓,✓,4
131,Link,✓,✓,✓,1
132,Turn around,✓,✓,✓,4
133,We Gonna Party,✓,✓,✓,5
134,Night Fly,✓,✓,✓,5
135,Feel My Fire,✓,✓,✓,4
136,Streak,✓,✓,✓,4
137,Spin me harder,✓,✓,✓,4
138,Lionheart,✓,✓,✓,4
139,Acceleration,✓,✓,✓,4
140,Sprintrances,✓,✓,✓,4
141,Nerverakes,✓,✓,✓,4
142,Black Out,✓,✓,✓,4
143,Fragrance,✓,✓,✓,5
144,air's gravity,✓,✓,✓,5
145,Starlight Disco,✓,✓,✓,5
146,39,✓,✓,✓,5
147,地上の戦士,✓,✓,✓,4
148,サブリナ,✓,✗,✓,4
149,SPELL MAGIC,✓,✗,✓,4
152,超絶！Superlative,✓,✓,✓,4
153,采配の刻 Power of order,✓,✓,✓,4
154,DO RORO DERODERO ON DO RORO,✓,✓,✓,4
155,泣き虫O'clock,✓,✓,✓,5
157,Natural Flow,✓,✓,✓,4
159,maimaiちゃんのテーマ,✓,✓,✓,4
161,CANDY CANDY,✓,✗,✓,4
164,READY STEADY GO,✓,✗,✓,4
165,リライト,✓,✗,✓,4
166,カルマ,✓,✗,✓,4
167,GO!!!,✓,✗,✓,4
168,LOVEドッきゅん♥,✓,✗,✓,4
169,galaxias!,✓,✗,✓,4
172,女々しくて,✓,✗,✓,4
173,サラバ、愛しき悲しみたちよ,✓,✗,✓,4
174,創聖のアクエリオン,✓,✗,✓,4
176,Butter-Fly,✓,✗,✓,4
181,君の知らない物語,✓,✗,✓,4
182,残酷な天使のテーゼ,✓,✗,✓,4
184,I ♥,✓,✓,✓,4
185,＊ハロー、プラネット。,✓,✓,✓,4
186,イアイア★ナイトオブデザイア,✓,✓,✓,4
187,ローリンガール,✓,✓,✓,4
188,天ノ弱,✓,✓,✓,4
189,弱虫モンブラン,✓,✓,✓,4
190,モザイクロール,✓,✓,✓,4
191,脳漿炸裂ガール,✓,✓,✓,4
192,SPiCa,✓,✗,✓,4
193,セツナトリップ,✓,✓,✓,4
194,放課後ストライド,✓,✓,✓,4
198,カゲロウデイズ,✓,✓,✓,5
199,チルノのパーフェクトさんすう教室,✓,✓,✓,4
200,Bad Apple!! feat.nomico,✓,✓,✓,5
201,魔理沙は大変なものを盗んでいきました,✓,✓,✓,4
202,Grip & Break down !!,✓,✓,✓,4
203,"Help me, ERINNNNNN!!（Band ver.）",✓,✓,✓,4
204,ナイト・オブ・ナイツ,✓,✓,✓,5
205,全人類ノ非想天則,✓,✓,✓,4
206,しゅわスパ大作戦☆,✓,✓,✓,4
207,時空を超えて久しぶり！,✓,✓,✓,4
208,Her Dream Is To Be A Fantastic Sorceress,✓,✓,✓,4
209,ココロスキャンのうた,✓,✓,✓,4
212,神室雪月花,✓,✓,✓,4
213,KONNANじゃないっ！,✓,✓,✓,4
214,awake,✓,✓,✓,4
216,Mysterious Destiny,✓,✓,✓,4
217,Riders Of The Light,✓,✓,✓,4
218,Terminal Storm,✓,✓,✓,4
219,記憶、記録,✓,✓,✓,5
220,セガサターン起動音[H.][Remix],✓,✓,✓,4
223,夜咄ディセイブ,✓,✓,✓,4
224,ウサテイ,✓,✓,✓,4
225,sweet little sister,✓,✓,✓,4
226,Blew Moon,✓,✓,✓,5
227,Garakuta Doll Play,✓,✓,✓,5
228,Dreampainter,✓,✓,✓,4
229,ぐるぐるWASH！コインランドリー・ディスコ,✓,✓,✓,4
230,CYCLES,✓,✓,✓,4
231,Heartbeats,✓,✓,✓,4
232,Life Feels Good,✓,✓,✓,4
233,MYTHOS,✓,✓,✓,4
234,End of Twilight,✓,✓,✓,4
235,火炎地獄,✓,✓,✓,4
236,ユビキリ,✓,✓,✓,4
237,Pixel Voyage,✓,✓,✓,4
238,Get Happy,✓,✓,✓,4
239,System “Z”,✓,✓,✓,5
240,Beat of getting entangled,✓,✓,✓,5
241,Cosmic Train,✓,✓,✓,4
242,ナミダと流星,✓,✓,✓,4
244,おても☆Yan,✓,✓,✓,4
246,maiム・maiム feat.週刊少年マガジン,✓,✓,✓,4
247,Danza zandA,✓,✓,✓,5
248,Backyun! －悪い女－,✓,✓,✓,5
251,Monochrome Rainbow,✓,✓,✓,4
252,みんなのマイマイマー,✓,✓,✓,5
253,円舞曲、君に,✓,✓,✓,4
254,Live & Learn,✓,✓,✓,4
255,Burning Hearts ～炎のANGEL～,✓,✓,✓,5
256,いーあるふぁんくらぶ,✓,✓,✓,5
258,Nyan Cat EX,✓,✓,✓,4
259,ぽっぴっぽー,✓,✓,✓,4
260,LUCIA,✓,✓,✓,5
261,Death Scythe,✓,✓,✓,5
262,BREAK YOU!!,✓,✓,✓,4
263,JUMPIN' JUMPIN',✓,✓,✓,4
264,L'épilogue,✓,✓,✓,4
265,Save This World νMIX,✓,✓,✓,5
266,Living Universe,✓,✓,✓,5
267,Ignite Infinity,✓,✓,✓,4
268,トルコ行進曲 - オワタ＼(^o^)／,✓,✓,✓,4
269,裏表ラバーズ,✓,✓,✓,4
270,Outlaw's Lullaby,✓,✓,✓,4
271,Brand-new Japanesque,✓,✓,✓,4
274,RPG,✓,✗,✓,4
277,Tachyon,✓,✗,✓,4
278,レッツゴー!陰陽師,✓,✓,✓,4
280,炉心融解,✓,✗,✓,4
281,ダブルラリアット,✓,✓,✓,4
282,からくりピエロ,✓,✓,✓,5
283,ネトゲ廃人シュプレヒコール,✓,✓,✓,4
284,むかしむかしのきょうのぼく,✓,✗,✓,4
285,magician's operation,✓,✓,✓,4
288,六兆年と一夜物語,✓,✓,✓,4
289,みくみくにしてあげる♪【してやんよ】,✓,✓,✓,4
290,リリリリ★バーニングナイト,✓,✓,✓,4
291,ハロ／ハワユ,✓,✓,✓,4
293,Our Fighting,✓,✗,✓,4
295,緋色のDance,✓,✓,✓,5
296,明星ロケット,✓,✓,✓,5
297,The Great Journey,✓,✓,✓,4
298,お嫁にしなさいっ！,✓,✓,✓,4
299,ロストワンの号哭,✓,✓,✓,5
300,Sweet Devil,✓,✗,✓,4
301,患部で止まってすぐ溶ける～狂気の優曇華院,✓,✓,✓,5
302,ケロ⑨destiny,✓,✓,✓,4
303,"Endless, Sleepless Night",✓,✓,✓,4
305,POP STAR,✓,✓,✓,4
308,Back 2 Back,✓,✓,✓,4
309,神々の祈り,✓,✓,✓,4
310,エピクロスの虹はもう見えない,✓,✓,✓,5
311,シアワセうさぎ,✓,✓,✓,4
312,ってゐ！ ～えいえんてゐVer～,✓,✓,✓,5
313,待チ人ハ来ズ。,✓,✓,✓,4
314,Cosmic Magic Shooter,✓,✓,✓,4
315,深海少女,✓,✓,✓,4
316,M.S.S.Planet,✓,✓,✓,4
318,東方スイーツ！～鬼畜姉妹と受難メイド～,✓,✓,✓,4
319,幻想のサテライト,✓,✓,✓,4
320,最速最高シャッターガール,✓,✓,✓,4
321,バラライカ,✓,✓,✓,4
322,林檎華憐歌,✓,✓,✓,4
323,YATTA!,✓,✓,✓,4
324,Jack-the-Ripper◆,✓,✓,✓,4
325,Windy Hill -Zone 1,✓,✓,✓,4
326,コトバ・カラフル,✓,✓,✓,4
327,タカハせ！名人マン,✓,✓,✓,4
328,言ノ葉カルマ,✓,✓,✓,5
329,かせげ！ジャリンコヒーロー,✓,✓,✓,4
330,キズナの物語,✓,✓,✓,4
331,Heart Beats,✓,✓,✓,4
332,アゲアゲアゲイン,✓,✗,✓,4
